land,Point,item
England,4.50,England( Point: 4.50)
Frankrig,5.00,Frankrig( Point: 5.00)
Tyskland,6.50,Tyskland( Point: 6.50)
Portugal,7.50,Portugal( Point: 7.50)
Spanien,9.00,Spanien( Point: 9.00)
Holland,15.00,Holland( Point: 15.00)
Italien,17.00,Italien( Point: 17.00)
Belgien,21.00,Belgien( Point: 21.00)
Danmark,41.00,Danmark( Point: 41.00)
Kroatien,41.00,Kroatien( Point: 41.00)
Tyrkiet,51.00,Tyrkiet( Point: 51.00)
Schweiz,67.00,Schweiz( Point: 67.00)
Serbien,67.00,Serbien( Point: 67.00)
Ungarn,81.00,Ungarn( Point: 81.00)
Østrig,81.00,Østrig( Point: 81.00)
Skotland,101.0,Skotland( Point: 101.0)
Ukraine,101.0,Ukraine( Point: 101.0)
Polen,151.0,Polen( Point: 151.0)
Tjekkiet,151.0,Tjekkiet( Point: 151.0)
Rumænien,201.0,Rumænien( Point: 201.0)
Slovenien,251.0,Slovenien( Point: 251.0)
Albanien,501.0,Albanien( Point: 501.0)
Georgien,501.0,Georgien( Point: 501.0)
Slovakiet,501.0,Slovakiet( Point: 501.0)
